,URL,TITLE,DATE,START_TIME,LOCATION,DESCRIPTION
10,https://datascience.ucsd.edu/events/meshfree-particle-methods-a-new-computational-mechanics-paradigm-and-its-connection-to-data-driving-computational-mechanics/,Meshfree/Particle Methods: A New Computational Mechanics Paradigm and its Connection to Data-Driving Computational Mechanics,"November 19, 2019",2020-02-07 14:00:00,"SDSC, The Auditorium","Abstract: In the past two decades, meshfree methods have emerged into a new class of computational methods with considerable success. Meshfree methods such as the Reproducing Kernel Particle Method (RKPM) offer arbitrary orders of continuities/ discontinuities and locality in the approximation while allowing straightforward model refinement and physics-specific solution enrichment. These unique properties have expanded the horizon of computational mechanics and scientific computing applications well beyond what the mesh-based computational methods can offer, such as multi-scale and multi-physics modelings and image/pixel based simulation. Meshfree collocation methods have also undergone significant development, which also offer a truly meshfree solution without the tedious domain integration in the conventional finite element methods. A recent effort in meshfree method finds its new application in pixel-based data-driven computing, where the employment of smooth interpolants in an unstructured discretization can be utilized to reconstruct the local data manifold in a convex hull based on nearest neighbor material points to yield a better conditioned reduced-dimension data-driven optimization system for enhanced accuracy and robustness against noise and outliers in data sets. A data-driven simulation of heart valve tissues under finite deformation will be demonstrated.
Short-Bio: S. Chen is currently the Inaugural William Prager Chair Professor of Structural Engineering Department and the Director of Center for Extreme Events Research at UC San Diego. Before joining UCSD in October 2013, he was the Chancellor’s Professor of UCLA Civil & Environmental Engineering Department where he served as the Department Chair during 2007-2012. J. S. Chen’s research is in computational mechanics and multiscale materials modeling with specialization in the development of meshfree methods. He is the Past President of US Association for Computational Mechanics (USACM) and the Past Present of ASCE Engineering Mechanics Institute (EMI). He has received numerous awards, including the Computational Mechanics Award from International Association for Computational Mechanics (IACM), ICACE Award from International Chinese Association for Computational Mechanics (ICACM), the Ted Belytschko Applied Mechanics Award from ASME Applied Mechanics Division, the Belytschko Medal, U.S. Association for Computational Mechanics (USACM), among others. He is the Fellow of USACM, IACM, ASME, EMI, ICACM, and ICCEES."
11,https://datascience.ucsd.edu/events/listen-carefully-to-what-data-whisper/,"Listen carefully to what data whisper, or how I discovered new perspectives for cybersecurity systems","November 19, 2019",2020-02-07 13:00:00,"SDSC, The Auditorium","Title: Listen carefully to what data whisper, or how I discovered new perspectives for cybersecurity systems
Reports on the global cyber-security landscape prove that DDoS (Distributed Denial of Service) attacks are the dominant threat for the market of network services. The number of attacks is growing every year, and so is the scale and the complexity of attack dynamics.
There are already many DDoS detection and mitigation systems available. Most of them, though, use signature-based (supervised learning) mechanisms, comparing the content of network packets or statistical features of network flows with patterns of already known attacks.
The new patent-pending approach I will discuss does not need signatures to solve the attack detection and mitigation problem. It turned out that by asking the right questions about the structure and evolution of the network traffic data, I was able to handle even the multidimensional time-varying attacks in real-time, with no pre-knowledge available. Even more, this insight created new perspectives on how to address cybersecurity problems with tools that haven’t been considered for the job before.
Michał Karpowicz, PhD is an Assistant Professor of Computer Science and Head of IT Systems Engineering Department at NASK National Research Institute for Cybersecurity & AI. He received his B.S., M.S., and Ph.D. from the Institute of Control and Computation Engineering at the Warsaw University of Technology. His research interests include control theory, signal processing, and game theory."
12,https://datascience.ucsd.edu/events/cooperative-perception-in-future-cars-an-adaptive-swarm-intelligence-use-case/,Cooperative Perception in Future Cars,"November 13, 2019",2020-02-07 11:00:00,"SDSC, Room 408 (Central Building)","Title: Cooperative Perception in Future Cars: An Adaptive Swarm Intelligence Use Case
Abstract: The phenomenon of self-driving (autonomous) vehicles is a symbol of the grand re-emergence of artificial intelligence and robotics as a promising technology. The most general model of future vehicular transportation is that of artificially intelligent, connected, autonomous vehicles. From a commercial perspective, the dominant market potential at this point is that of wirelessly connected, cloud-backed autonomous and semi-autonomous land vehicles.
In this talk, we want to motivate the discussion around the task of designing efficient and resilient embedded SoCs in support of the above-mentioned vehicular swarm problem space [1]. Such an SoC would be composed of a mix of different processing elements (PEs): e.g. general-purpose cores and various types of special-purpose accelerators. Such a heterogeneous, multi-core architecture is well-established in the art as an energy-efficient execution paradigm. However, such hardware-level heterogeneity generally presents itself as a difficult programmability challenge from a user perspective.
The Domain-Specific SoC (or DSSoC) program under DARPA MTO’s Electronics Resurgence Initiative (ERI), is concerned with the problem of designing easily programmable, yet efficient SoCs (for an identified application domain) at low development cost. The IBM-led project under DSSoC is called: “EPOCHS: Efficient Programmability of Cognitive Heterogeneous Systems,” in which our chosen application domain is that represented by intelligent, connected autonomous vehicles. In this talk, we present the novel elements of the EPOCHS approach to agile SoC design. The strategy is to meet the programmability and efficiency metrics with the help of smart system software, supported where needed, by customized hooks in hardware.
[1] A. Vega, A. Buyuktosunoglu, P. Bose. “Towards “Smarter” Vehicles Through Cloud-Backed Swarm Cognition,” Intelligent Vehicles Symposium 2018: 1079-1086.
Bio: Augusto Vega is a Research Staff Member at IBM T. J. Watson Research Center involved in research and development work in the areas of highly-reliable power-efficient embedded designs, cognitive systems and mobile computing. He is a promoter of the Adaptive Swarm Intelligence paradigm with potential application in autonomous/connected vehicles, drones, wearable devices, mobile health monitoring and cyber-physical systems. He has several pending/issued patents and published papers and has served on conference technical program committees in the area of highly-reliable power-efficient systems. Dr. Vega holds Ph.D. and M.Sc. degrees from Polytechnic University of Catalonia (UPC, Spain), and a B.Eng. degree from University of Buenos Aires (UBA, Argentina)."
13,https://datascience.ucsd.edu/events/distinguished-lecturer-chris-van-pelt/,Distinguished Lecturer: Chris Van Pelt,"November 7, 2019",2020-02-07 14:00:00,"The Village Building 2, Village West Room 2C","Weight & Biases Cofounder, Chris Van Pelt, comes to HDSI to discuss deep learning in the real world, what is working in industry and academia, and what isn’t. Over the past 10 years, Chris has watched lots of companies attempt to deploy machine learning — some succeed wildly and some fail spectacularly. One constant is that machine learning teams have a hard time setting goals and setting expectations. This talk will give some examples of how teams fail and recommendations for everyone from executives to researchers to make their machine learning projects work better.
Chris Van Pelt is a co-founder of Weights & Biases, an experiment tracking platform for deep learning. In 2009, Chris founded Figure Eight/CrowdFlower. Over the past 10 years, Chris has dedicated his career optimizing ML workflows and teaching ML practitioners, making machine learning more accessible to all."
14,https://datascience.ucsd.edu/events/mathematical-and-causal-faces-of-explainable-ai/,Mathematical and Causal Faces of Explainable AI,"November 6, 2019",2020-02-07 10:00:00,HSS 7077,"Atoosa Kasirzadeh (ANU)
Abstract: Recent conceptual discussion on the nature of the explainability of Artificial Intelligence (AI) has largely been limited to causal investigations. This paper identifies some shortcomings of this approach to help strengthen the debate on this subject. Building on recent philosophical work on the nature of explanations, I demonstrate the significance of two non-causal explanatory elements: (1) mathematical structures that are the grounds for capturing the decision-making situation and (2) statistical and optimality facts in terms of which the algorithm is designed and implemented. I argue that these elements feature directly in important aspects of AI explainability and interpretability. I then propose a hierarchical framework that acknowledges the existence of various types of explanation, each of which reveals an aspect of decision making, and answers to a different kind of why-question. The usefulness of this framework will be illustrated by bringing it to bear on some salient questions about AI and society.
HSS 7077, 10am, Nov 6, 2019"
15,https://datascience.ucsd.edu/events/machine-learning-based-computer-vision/,Machine Learning Based Computer Vision,"October 30, 2019",2020-02-07 18:30:00,10100 Hopkins Dr,"Sign up here.
About The Talk:
With the induction of Machine Learning techniques into the field of computer vision new possibilities of automation are opening up for application developers. Join us at the October 30th meet-up where we will review traditional approaches to computer vision and explore new machine learning approaches to computer vision.
During the meet-up using the alwaysAI CV platform I will demonstrate traditional algorithms to build feature extractors, using pre-trained machine learning models that demonstrate image classification and object detection. We will also take a look at machine learning accelerators and how they work. The demo’s will be run on a Qualcomm based edge device.
About Steve:
Steve Griset is co-founder and Chief Technology Officer at alwaysAI.
He brings 25 years of experience building innovative enterprise software and mobile technology. Steve led R&D for Sybase 365 as well as engineered its global network of over 900 carriers and drove its mobile commerce capabilities.
Steve holds 2 core patents in Rich Communications Services (RCS) and loves to engineer new technology and bring innovative software to market.
He received his BS in Business Administration and Management from the University of California, Riverside followed by completion of an MIT Sloan Executive Program in Engineering and Industrial management."
16,https://datascience.ucsd.edu/events/san-diego-jupyter-notebook-users-fall-meetup/,San Diego Jupyter Notebook Users Fall Meetup,"October 29, 2019",2020-02-07 17:00:00,Biomedical Research Facility II,"Details
Location: Biomedical Research Facility II (BRF2), Room 1104
Agenda:
5:00 pm – Pizza and Networking
5:30 pm – Lightning Talks
In the style of the Jupyter Community meetings, we invite anyone who has developed a Jupyter-related application or project to do a 5-minute lightning talk about their work. If you’re interested, let us know by answering the in the registration form or post in the comments section.
6:15 pm – Open discussion/Bring your work
Discuss your notebooks with other notebook authors and developers, share tips on approaches, notebook features, extensions, and any other topics you would like. All levels of experience with Jupyter are welcome.
Registration Link: https://www.meetup.com/San-Diego-Jupyter-Meetup/events/265299350/?rv=ea1_v2&_xtd=gatlbWFpbF9jbGlja9oAJDhmODA5ZWRiLTJjYzYtNDNiOC05YjNkLTJkZjQxYjU4YmJlYw"
17,https://datascience.ucsd.edu/events/interactive-workshop-tba/,Interactive Workshop – Professor Amelia Acker,"October 25, 2019",2020-02-07 10:00:00,"Atkinson Hall 5004, UCSD","Guest speaker: Prof. Amelia Acker of the University of Texas at Austin.
To RSVP, please contact Tara Nadeau at tlnadeau@ucsd.edu
This working group is supported through partnerships with the Division of Arts & Humanities, Halicioglu Data Science Institute, and the Program in Science Studies."
18,https://datascience.ucsd.edu/events/data-literacy-acker/,"Lecture – Data Literacy, Constant Collection, and Future of Access","October 24, 2019",2020-02-07 15:00:00,SSB 107,"Data Literacy, Constant Collection, and Future of Access
Guest speaker: Prof. Amelia Acker of the University of Texas at Austin.
A social hour with refreshments will be held at Soda & Swine after the lecture.
To RSVP, please contact Tara Nadeau at tlnadeau@ucsd.edu
This working group is supported through partnerships with the Division of Arts & Humanities, Halicioglu Data Science Institute, and the Program in Science Studies."
19,https://datascience.ucsd.edu/events/teaching-machines-to-explain-themselves/,Using Explanations for Robust Autonomous Decision Making,"October 24, 2019",2020-02-07 13:00:00,"SDSC, The Synthesis Center","Abstract: The “state of the art” artificially intelligent systems, like Watson, Deep Blue, and AlphaZero, are opaque to humans. Previously, these intelligent systems were designed to play games,
like chess, jeopardy, and Go. But now as these systems start approaching human-level decision making , they need to be able to explain their decisions, and be able to tell a story of why they did
it. I am developing the underlying technology and methods to model complex systems as a layered system of communicating agents that can explain their behavior and learn from their mistakes.
In this talk, I present my work on building systems that use explanations to make more trusted, accountable (and even ethical) decisions. This methodology is similar to how we build trust among
our human peers: by asking questions, challenging assumptions, and carefully explaining the hypothetical consequences to ourselves. My proposed contribution will mitigate system-wide errors, by enabling the parts of a complex machine to use introspection and explanation to consistently monitor the behavior of their underlying parts and themselves.
Learn more about Leilani."
20,https://datascience.ucsd.edu/events/in-search-of-human-rights-compatible-internet/,In search of human rights-compatible internet,"October 10, 2019",2020-02-07 15:00:00,"UCSD, SSB 107","Title: In search of a human rights-compatible internet:  Lessons and questions from the Ranking Digital Rights project
Rebecca MacKinnon directs the Ranking Digital Rights (RDR) project at New America, setting global standards for corporate respect for freedom of expression and privacy online. The RDR Corporate Accountability Index ranks the world’s most powerful internet, mobile, and telecommunications companies on relevant commitments and policies, based on international human rights standards. Author of Consent of the Networked: The Worldwide Struggle For Internet Freedom (2012), MacKinnon is a 2019-2020 University of California Free Speech and Civic Engagement Fellow. She is co-founder of the citizen media network Global Voices, serves on the Board of Directors of the Committee to Protect Journalists and a founding member of the Global Network Initiative. Previously, she was CNN’s Bureau Chief and correspondent in China and Japan between 1998-2004. She has taught at the University of Hong Kong and the University of Pennsylvania, and held fellowships at Harvard, Princeton, and the Open Society Foundations.
Abstract: Since 2015 New America’s Ranking Digital Rights project has produced four iterations of the RDR Corporate Accountability Index, which ranks some of the world’s most powerful internet, mobile, and telecommunications companies on their disclosed policies and practices affecting users’ freedom of expression and privacy. (See https://rankingdigitalrights.org/index2019) For the next iteration of the RDR Index, new indicators are being developed to evaluate company policies related to targeted advertising and the use of algorithms, automation, and machine learning. RDR Director Rebecca MacKinnon will give a preview of those new indicators, describe the research and consultation process used to develop them, and discuss their relationship to current policy debates about the power of digital platforms, online speech, democracy and human rights. In the ensuing discussion she hopes to learn about related research by UCSD students and faculty and explore potential areas of collaboration for the future.
For information or to request an accommodation, contact Tara Nadeau (858-822-4973 | tlnadeau@ucsd.edu). This event is wheelchair accessible. Service animals specifically trained to assist a person with a disability are welcome. No other animals, including pets, therapy animals, or emotional support animals, are allowed."
